Period,Day-ahead_Price_2015_[EUR/MWh],Emissions_2015_[g/kWh],Day-ahead_Price_2016_[EUR/MWh],Emissions_2016_[g/kWh],Day-ahead_Price_2017_[EUR/MWh],Emissions_2017_[g/kWh],Day-ahead_Price_2018_[EUR/MWh],Emissions_2018_[g/kWh],Day-ahead_Price_2019_[EUR/MWh],Emissions_2019_[g/kWh],Day-ahead_Price_2020_[EUR/MWh],Emissions_2020_[g/kWh],Day-ahead_Price_2021_[EUR/MWh],Emissions_2021_[g/kWh],Day-ahead_Price_2022_[EUR/MWh],Emissions_2022_[g/kWh],Day-ahead_Price_2023_[EUR/MWh],Emissions_2023_[g/kWh],
2849,34.91,466.404874905274,34.79,465.575509515892,29.19,458.773682367473,18.57,288.995989267982,42.4,373.325457084485,27.18,357.717282206322,49.46,350.723939425025,206,404.477234590287,85,296.662851135598,
2850,41.1,511.386017838318,38.43,500.332301413452,32.54,507.699843425829,21.45,319.067135325446,44.97,381.655281550619,28.74,375.06681566742,56.61,371.011216985462,216.3,446.428015019138,100.1,344.911877481344,
2851,44.94,542.895161632706,35.75,542.244146372911,34.93,543.271502021607,21.25,331.459922191771,47.08,393.949598141676,31.28,378.236768986509,75.4,382.300237347989,246.98,481.069582930647,118.36,351.89621245196,
2852,43.17,549.483717384873,37.19,570.106352990435,34.79,558.436888086666,20.72,324.18933475873,47.81,403.960889912906,29.99,393.517166804597,73.96,378.19396242914,262.08,504.161573833324,119.45,366.755839427463,
2853,41.39,544.817610914324,34.92,592.881847884919,34.9,550.597824502487,19.93,284.898173355774,46.81,412.008179418621,27.44,402.079940717157,69.55,379.188224375842,265.87,506.921077118659,120,365.062703201579,
2854,35.46,525.014885068317,30.3,593.917855313181,32.93,538.870690468514,18.6,255.647062130656,44.86,422.751405011186,24.09,393.326205544544,56.56,371.657945072572,254.97,504.374886271923,115.57,390.352920996289,
2855,27.79,503.234056068129,26.41,592.89545827784,30.47,517.165765929457,12.05,208.80727135733,38.43,438.69432886215,21.03,349.326706434399,53.73,354.138020179686,241.56,518.014523596239,110,411.861337893633,
2856,25.95,469.228246312255,25.01,580.481535694788,29.29,476.008572035599,15.02,202.91416705064,34,444.648590193048,19.04,313.623848980182,55.77,352.317901639499,217.91,521.770858305092,99.28,411.468343881016,
2857,25.26,466.795595543986,23.99,570.022307253124,26.02,447.363905383249,4.91,187.313925860107,36.07,439.279855332501,17.58,294.097406827651,56.9,362.994856682383,204.78,523.112203792943,91.09,405.624554723483,
2858,25.93,477.200991179047,22.46,544.033704528799,22.06,425.947507930916,4.76,189.640067228882,35,422.481408544311,17.09,292.567608580358,57.28,379.779093483424,189.1,517.933252731657,88.38,412.402230458763,
2859,25.81,487.401843204674,22.35,534.060107327469,13.13,417.374157171352,1.77,187.648804049828,35.24,417.63449519382,17.11,298.130325910851,58.94,401.884710038608,189.91,515.563422327975,85.61,421.931792192509,
2860,26.47,503.886600746043,23.47,502.348725451253,9.63,394.09007351697,2.65,190.220344348967,34.44,408.984194067107,18.04,320.125939368705,60.31,431.736957516593,187.47,512.568053952932,85.52,432.617970834918,
2861,29.17,530.557007829444,26.8,492.111351253567,10.06,364.830565206751,3.78,200.158225574108,37.04,414.410091990311,20.91,340.305314384014,65.26,463.914684624977,189.96,518.827846408624,88.27,437.345103266042,
2862,38.7,542.884384110737,30.68,496.039606198999,16.8,338.472660155588,5.01,209.133669814774,45.62,451.321838785818,24.28,394.851894378901,74,456.571695964455,194.81,527.117682472191,85.84,424.354513577846,
2863,44.99,526.625457369607,28.51,491.983639477973,9.6,309.560489256446,18.24,217.863465209846,52.14,457.137417600189,27.09,376.151044937137,81.67,444.870588698747,201,524.917333819476,82,368.200344541742,
2864,43.91,508.418016499691,22.39,467.916703411463,9.56,289.485134079037,20.34,218.761518302688,60,422.57136004224,30.57,361.75144431132,84.93,430.022466206481,206.59,511.572584479797,75,283.331273315802,
